Timestamp,Node,CPU_percent,Memory_percent
16:58:00,midnight-07,2%,59%
16:58:00,prakhar-agarwal,3%,40%
16:58:00,reehan-pc,8%,83%
16:58:03,midnight-07,2%,59%
16:58:03,prakhar-agarwal,3%,40%
16:58:03,reehan-pc,8%,83%
16:58:05,midnight-07,2%,59%
16:58:05,prakhar-agarwal,3%,40%
16:58:05,reehan-pc,8%,83%
16:58:07,midnight-07,2%,59%
16:58:07,prakhar-agarwal,3%,40%
16:58:07,reehan-pc,8%,83%
16:58:09,midnight-07,2%,59%
16:58:09,prakhar-agarwal,3%,40%
16:58:09,reehan-pc,8%,83%
16:58:11,midnight-07,2%,59%
16:58:11,prakhar-agarwal,3%,40%
16:58:11,reehan-pc,8%,83%
16:58:13,midnight-07,3%,59%
16:58:13,prakhar-agarwal,12%,40%
16:58:13,reehan-pc,6%,83%
16:58:15,midnight-07,3%,59%
16:58:15,prakhar-agarwal,12%,40%
16:58:15,reehan-pc,6%,83%
16:58:18,midnight-07,3%,59%
16:58:18,prakhar-agarwal,12%,40%
16:58:18,reehan-pc,6%,83%
